chr_gr_ch37	twas_trait	twas_gene	dgn_chunk
1	mean_sphered_cell_volume	RHD	5
1	mean_sphered_cell_volume	RHCE	5
1	red_blood_cell_width	RHD	5
1	red_blood_cell_width	RHCE	5
1	mean_cell_hemoglobin	DHDDS	5
1	mean_cell_hemoglobin	RPS6KA1	5
1	mean_cell_volume	DHDDS	5
1	mean_cell_volume	RPS6KA1	5
1	mean_sphered_cell_volume	DHDDS	5
1	mean_sphered_cell_volume	RPS6KA1	5
1	mean_reticulocyte_volume	DHDDS	5
1	mean_reticulocyte_volume	RPS6KA1	5
1	plateletcrit	PIGV	5
1	plateletcrit	ZDHHC18	5
1	mean_cell_volume	MACF1	7
1	mean_cell_volume	PABPC4	7
1	mean_cell_hemoglobin	MACF1	7
1	mean_cell_hemoglobin	PABPC4	7
1	mean_cell_hemoglobin_concentration	MACF1	7
1	mean_cell_hemoglobin_concentration	PABPC4	7
1	red_blood_cell_width	MACF1	7
1	red_blood_cell_width	PABPC4	7
1	hematocrit_percentage	TIE1	8
1	hematocrit_percentage	MPL	8
1	hematocrit_percentage	MED8	8
1	hemoglobin_concentration	TIE1	8
1	hemoglobin_concentration	MPL	8
1	hemoglobin_concentration	MED8	8
1	monocyte_count	TIE1	8
1	monocyte_count	MPL	8
1	hls_reticulocyte_count	MUTYH	8
1	hls_reticulocyte_count	TESK2	8
1	hls_reticulocyte_count	IPP	8
1	monocyte_percentage	ZYG11B	9
1	monocyte_percentage	SCP2	9
1	red_blood_cell_count	ZYG11B	9
1	red_blood_cell_count	ECHDC2	9
1	red_blood_cell_count	SCP2	9
1	monocyte_count	ZYG11B	9
1	monocyte_count	ECHDC2	9
1	monocyte_count	SCP2	9
1	hemoglobin_concentration	ZYG11B	9
1	hemoglobin_concentration	ECHDC2	9
1	hemoglobin_concentration	SCP2	9
1	mean_reticulocyte_volume	ZYG11B	9
1	mean_reticulocyte_volume	ECHDC2	9
1	mean_reticulocyte_volume	SCP2	9
1	hematocrit_percentage	ZYG11B	9
1	hematocrit_percentage	ECHDC2	9
1	hematocrit_percentage	SCP2	9
1	mean_platelet_volume	USP1	11
1	mean_platelet_volume	DOCK7	11
1	platelet_distribution_width	USP1	11
1	platelet_distribution_width	DOCK7	11
1	mean_cell_hemoglobin_concentration	NEXN	13
1	mean_cell_hemoglobin_concentration	DNAJB4	13
1	monocyte_count	ENSA	25
1	monocyte_count	CTSK	25
1	monocyte_percentage	ENSA	25
1	monocyte_percentage	CTSK	25
1	lymphocyte_count	ENSA	25
1	lymphocyte_count	CTSK	25
1	neutrophil_percentage	ENSA	25
1	neutrophil_percentage	CTSK	25
1	lymphocyte_percentage	ENSA	25
1	lymphocyte_percentage	CTSK	25
1	plateletcrit	S100A13	26
1	plateletcrit	SNAPIN	26
1	mean_cell_hemoglobin_concentration	TRIM46	26
1	mean_cell_hemoglobin_concentration	THBS3	26
1	mean_cell_hemoglobin_concentration	GBAP1	26
1	red_blood_cell_count	TRIM46	26
1	red_blood_cell_count	THBS3	26
1	red_blood_cell_count	GBAP1	26
1	hemoglobin_concentration	TRIM46	26
1	hemoglobin_concentration	THBS3	26
1	hemoglobin_concentration	GBAP1	26
1	hematocrit_percentage	TRIM46	26
1	hematocrit_percentage	THBS3	26
1	hematocrit_percentage	GBAP1	26
1	red_blood_cell_width	GBA	26
1	red_blood_cell_width	FDPS	26
1	monocyte_percentage	SLC45A3	35
1	monocyte_percentage	PM20D1	35
1	monocyte_count	SLC41A1	35
1	monocyte_count	PM20D1	35
1	basophil_percentage	TMEM206	36
1	basophil_percentage	NENF	36
1	basophil_count	TMEM206	36
1	basophil_count	NENF	36
2	red_blood_cell_count	PPP1CB	5
2	red_blood_cell_count	TRMT61B	5
2	plateletcrit	MOGS	13
2	plateletcrit	MRPL53	13
2	plateletcrit	CCDC142	13
2	plateletcrit	TTC31	13
